unknown,Unknown,0,不明なデータ。,特に問題はないようだ…
none,None,0,No data,特に問題はないようだ…
Server,業務サーバ,1,固定されたラックに設置された業務サーバー。ラックの扉は常に施錠されている。バックアップデータが同じ室内の保管庫にある。,バックアップ情報は、主事業所の災害による被害から免れるために十分離れた場所に保管する。(12.3.1 情報のバックアップ 管理策参照)
BookCaseSet01,文書庫１,0,鍵による施錠管理が可能であるが、在室時は開放されている。背表紙の色などで分類され、取り扱い方法が決まっているとのこと。,特に問題はないようだ…。在室時には人による監視があるため盗難等のリスクは低いと判断される。
BookCaseSet02,文書庫２,0,鍵による施錠は可能であるが、在室時は開放されている。背表紙の色などで分類され、赤色の本は持ち出し禁止とされている。,特に問題はないようだ…。在室時には人による監視があるため盗難等のリスクは低いと判断される。
LockCabine,保管庫,0,各段を鍵により施錠して管理可能。主に重要な資産を保管するのに使われている,特に問題はないようだ…。在室時には人による監視があり、また、鍵による管理があるため盗難等のリスクは低いと判断される。
PC_ServerManage,サーバ管理用PC,0,サーバを管理するPC。起動にはパスワードが必要であり、パスワード管理もされている。,特に問題はないようだ…。起動パスワード管理が行われていることが前提である。
PCSet01,一般業務用PC01,0,一般業務用に使われているPC。起動には8桁のパスワードが必要である。,特に問題はないようだ…。
PCSet02,一般業務用PC02,0,一般業務用に使われているPC。起動には8桁のパスワードが必要である。,特に問題はないようだ…。
DoorInside,サーバールームへの扉,1,鍵による施錠は可能であるが業務中は開放されており、職員ならば自由に出入りが可能となっている。,セキュリティを保つべき領域は、認可された者だけにアクセスを許すことを確実にするために、適切な入退管理策によって保護することが望ましい。(11.1.2 物理的入退管理策参照)
DoorOutside,出口の扉,0,不在時および休日・夜間は施錠される。IDカードを所持した職員なら誰でも出入りできる,特に問題はないようだ…。ただし補足としては、入退館の記録の確認が必要である。
Sofa01,ソファ,0,ふかふかのソファー。座るとなんか気持ちいいらしい。,特に問題はないようだ…。
Sofa02,ソファ,0,ふかふかのソファー。座ると地味に気持ちいいらしい。,特に問題はないようだ…。
MeetingSpace,会議スペース,0,会議を行ったり、休憩に使ったりされているスペース。食事をとったりしている職員もいるとか。,特に問題はないようだ…。
Window01,窓,0,少し大きめの窓。部屋の内側から鍵をかけることができる。材質は強化ガラスとなっており、外部から窓を割ることは困難。,特に問題はないようだ…。物理的境界を保護のため、打ち破りに強いガラスで保護されており、リスクは低いと判断される。
MonitaringCamera,監視カメラ,0,監視カメラ。実は防犯用の抑止力として設置されているダミー。,特に問題はないようだ…。不審者への抑止力としては効果があるが、内部者向けには効果が無いことに注意が必要。
ImportantBook,重要な書類,0,機密事項が書かれた書類。表紙に持ち出し厳禁と大きく書かれている。,特に問題はないようだ…。保管庫等が施錠管理されているため、盗難等のリスクは低いと判断される。
Memo,文字の書かれた付箋,1,付箋。「c92Y3ki7t」と8桁の英数字が書かれている。,秘密認証情報は秘密にしておき、関係当局の者を含む他者にこれが漏えいしないことを確実にする。また秘密認証情報を紙・ソフトウェアのファイルなどに記録して保管しない。(9.3.1 秘密認証情報の利用 )
BackUpData,サーバーのバックアップデータ,0,サーバーのバックアップデータ。復旧手段の書かれたマニュアルが付属している。,特に問題はないようだ…。
